NumGames,NimWin,NimLoss,NimDraw,StatesInPolicy
1000,492,508,0,366
2000,1008,992,0,416
3000,1577,1423,0,435
4000,2197,1803,0,439
5000,2809,2191,0,451
6000,3403,2597,0,453
7000,4002,2998,0,456
8000,4598,3402,0,459
9000,5192,3808,0,461
10000,5828,4172,0,463
11000,6510,4490,0,466
12000,7183,4817,0,470
13000,7907,5093,0,472
14000,8645,5355,0,474
15000,9382,5618,0,475
16000,10132,5868,0,475
17000,10903,6097,0,475
18000,11661,6339,0,476
19000,12440,6560,0,476
20000,13192,6808,0,476
21000,13960,7040,0,476
22000,14709,7291,0,478
23000,15444,7556,0,479
24000,16201,7799,0,482
25000,16957,8043,0,484
26000,17722,8278,0,486
27000,18483,8517,0,487
28000,19233,8767,0,487
29000,19998,9002,0,487
30000,20757,9243,0,487
31000,21526,9474,0,488
32000,22263,9737,0,488
33000,22994,10006,0,489
34000,23739,10261,0,489
35000,24476,10524,0,489
36000,25239,10761,0,490
37000,25981,11019,0,490
38000,26746,11254,0,490
39000,27494,11506,0,490
40000,28234,11766,0,492
41000,28989,12011,0,492
42000,29713,12287,0,494
43000,30466,12534,0,494
44000,31251,12749,0,494
45000,32014,12986,0,494
46000,32756,13244,0,494
47000,33509,13491,0,494
48000,34258,13742,0,494
49000,35011,13989,0,494
50000,35800,14200,0,494
51000,36553,14447,0,496
52000,37304,14696,0,496
53000,38052,14948,0,496
54000,38800,15200,0,496
55000,39548,15452,0,496
56000,40316,15684,0,496
57000,41085,15915,0,496
58000,41841,16159,0,496
59000,42590,16410,0,496
60000,43352,16648,0,496
61000,44078,16922,0,496
62000,44854,17146,0,496
63000,45614,17386,0,496
64000,46374,17626,0,496
65000,47130,17870,0,496
66000,47876,18124,0,496
67000,48673,18327,0,496
68000,49448,18552,0,496
69000,50232,18768,0,496
70000,51015,18985,0,496
71000,51797,19203,0,496
72000,52570,19430,0,496
73000,53362,19638,0,496
74000,54168,19832,0,496
75000,54946,20054,0,496
76000,55715,20285,0,496
77000,56490,20510,0,496
78000,57311,20689,0,496
79000,58108,20892,0,496
80000,58916,21084,0,496
81000,59703,21297,0,496
82000,60502,21498,0,497
83000,61289,21711,0,497
84000,62050,21950,0,497
85000,62847,22153,0,497
86000,63631,22369,0,497
87000,64413,22587,0,497
88000,65201,22799,0,497
89000,65981,23019,0,497
90000,66778,23222,0,497
91000,67565,23435,0,497
92000,68335,23665,0,498
93000,69144,23856,0,498
94000,69934,24066,0,498
95000,70741,24259,0,498
96000,71527,24473,0,498
97000,72295,24705,0,498
98000,73089,24911,0,498
99000,73893,25107,0,498
100000,74709,25291,0,498
