NumGames,NimWin,NimLoss,NimDraw,StatesInPolicy
1000,516,484,0,392
2000,1086,914,0,436
3000,1685,1315,0,450
4000,2300,1700,0,463
5000,2981,2019,0,470
6000,3678,2322,0,476
7000,4377,2623,0,478
8000,5083,2917,0,480
9000,5817,3183,0,482
10000,6577,3423,0,485
11000,7358,3642,0,487
12000,8150,3850,0,491
13000,8936,4064,0,493
14000,9691,4309,0,493
15000,10481,4519,0,495
16000,11245,4755,0,496
17000,12046,4954,0,497
18000,12803,5197,0,498
19000,13576,5424,0,499
20000,14363,5637,0,499
21000,15155,5845,0,499
22000,15923,6077,0,499
23000,16708,6292,0,500
24000,17500,6500,0,501
25000,18268,6732,0,501
26000,19047,6953,0,501
27000,19838,7162,0,501
28000,20620,7380,0,502
29000,21389,7611,0,502
30000,22159,7841,0,502
31000,22954,8046,0,502
32000,23757,8243,0,502
33000,24529,8471,0,502
34000,25312,8688,0,502
35000,26094,8906,0,502
36000,26891,9109,0,502
37000,27672,9328,0,502
38000,28457,9543,0,503
39000,29270,9730,0,503
40000,30054,9946,0,503
41000,30839,10161,0,504
42000,31636,10364,0,504
43000,32432,10568,0,505
44000,33224,10776,0,506
45000,34024,10976,0,507
46000,34828,11172,0,507
47000,35600,11400,0,507
48000,36403,11597,0,507
49000,37183,11817,0,508
50000,37975,12025,0,508
51000,38792,12208,0,508
52000,39606,12394,0,508
53000,40414,12586,0,508
54000,41208,12792,0,508
55000,42022,12978,0,508
56000,42815,13185,0,509
57000,43607,13393,0,509
58000,44414,13586,0,509
59000,45249,13751,0,509
60000,46050,13950,0,509
61000,46850,14150,0,509
62000,47661,14339,0,509
63000,48459,14541,0,510
64000,49281,14719,0,510
65000,50089,14911,0,510
66000,50869,15131,0,510
67000,51667,15333,0,510
68000,52463,15537,0,510
69000,53266,15734,0,510
70000,54079,15921,0,510
71000,54867,16133,0,510
72000,55689,16311,0,510
73000,56516,16484,0,510
74000,57311,16689,0,511
75000,58120,16880,0,511
76000,58893,17107,0,511
77000,59689,17311,0,511
78000,60469,17531,0,511
79000,61286,17714,0,511
80000,62077,17923,0,511
81000,62868,18132,0,511
82000,63665,18335,0,511
83000,64462,18538,0,511
84000,65224,18776,0,511
85000,66002,18998,0,511
86000,66812,19188,0,511
87000,67620,19380,0,511
88000,68419,19581,0,511
89000,69221,19779,0,511
90000,70010,19990,0,511
91000,70812,20188,0,511
92000,71597,20403,0,511
93000,72372,20628,0,511
94000,73170,20830,0,511
95000,73962,21038,0,511
96000,74759,21241,0,511
97000,75540,21460,0,511
98000,76327,21673,0,511
99000,77108,21892,0,511
100000,77882,22118,0,511
